,result,golddiffat10,xpdiffat10,golddiffat15,xpdiffat15,position_bot,position_jng,position_mid,position_sup,position_top
0,1,503.0,432.0,165.0,166.0,0,0,0,0,1
1,1,-198.0,-123.0,-399.0,150.0,0,1,0,0,0
2,1,-151.0,-708.0,-409.0,-1837.0,0,0,1,0,0
3,1,-3.0,-17.0,51.0,-401.0,1,0,0,0,0
4,1,-34.0,279.0,-233.0,257.0,0,0,0,1,0
10,0,-670.0,-915.0,-1865.0,-1704.0,0,0,0,0,1
11,0,-881.0,-1448.0,-2170.0,-2263.0,0,1,0,0,0
12,0,-287.0,129.0,-357.0,300.0,0,0,1,0,0
13,0,-151.0,116.0,-853.0,-537.0,1,0,0,0,0
14,0,-25.0,-31.0,-239.0,-629.0,0,0,0,1,0
20,1,21.0,75.0,-30.0,-261.0,0,0,0,0,1
21,1,-58.0,211.0,321.0,1362.0,0,1,0,0,0
22,1,51.0,37.0,193.0,-70.0,0,0,1,0,0
23,1,557.0,548.0,1711.0,856.0,1,0,0,0,0
24,1,111.0,-256.0,371.0,210.0,0,0,0,1,0
30,0,-313.0,-308.0,-721.0,-958.0,0,0,0,0,1
31,0,-444.0,-569.0,-1167.0,-759.0,0,1,0,0,0
32,0,-51.0,-132.0,3.0,-825.0,0,0,1,0,0
33,0,-572.0,-377.0,-271.0,-863.0,1,0,0,0,0
34,0,-199.0,528.0,-315.0,341.0,0,0,0,1,0
40,0,-165.0,-182.0,754.0,78.0,0,0,0,0,1
41,0,135.0,-432.0,248.0,-209.0,0,1,0,0,0
42,0,-114.0,136.0,236.0,275.0,0,0,1,0,0
43,0,-442.0,408.0,-87.0,676.0,1,0,0,0,0
44,0,-161.0,-243.0,-274.0,-615.0,0,0,0,1,0
50,1,214.0,120.0,1626.0,375.0,0,0,0,0,1
51,1,-26.0,-172.0,67.0,-547.0,0,1,0,0,0
52,1,-267.0,-627.0,-2.0,-124.0,0,0,1,0,0
53,1,55.0,166.0,641.0,452.0,1,0,0,0,0
54,1,-71.0,-173.0,55.0,47.0,0,0,0,1,0
60,1,621.0,193.0,407.0,-568.0,0,0,0,0,1
61,1,313.0,-234.0,132.0,-1016.0,0,1,0,0,0
62,1,106.0,433.0,-173.0,167.0,0,0,1,0,0
63,1,-501.0,-247.0,-949.0,-488.0,1,0,0,0,0
64,1,38.0,38.0,-305.0,-78.0,0,0,0,1,0
70,0,-551.0,-402.0,-2663.0,-1723.0,0,0,0,0,1
71,0,91.0,-274.0,-884.0,-1827.0,0,1,0,0,0
72,0,-846.0,-441.0,-2050.0,-1565.0,0,0,1,0,0
73,0,-1292.0,-949.0,-3369.0,-2136.0,1,0,0,0,0
74,0,-329.0,-445.0,-575.0,-1183.0,0,0,0,1,0
80,1,188.0,102.0,659.0,115.0,0,0,0,0,1
81,1,-240.0,-398.0,167.0,24.0,0,1,0,0,0
82,1,40.0,102.0,11.0,-80.0,0,0,1,0,0
83,1,-246.0,-21.0,81.0,-159.0,1,0,0,0,0
84,1,-42.0,-278.0,-168.0,-22.0,0,0,0,1,0
90,0,-273.0,291.0,-938.0,-245.0,0,0,0,0,1
91,0,-121.0,-201.0,-705.0,-983.0,0,1,0,0,0
92,0,345.0,164.0,988.0,407.0,0,0,1,0,0
93,0,462.0,140.0,343.0,41.0,1,0,0,0,0
94,0,347.0,-46.0,229.0,-200.0,0,0,0,1,0
100,1,371.0,705.0,1635.0,1816.0,0,0,0,0,1
101,1,-75.0,-152.0,97.0,123.0,0,1,0,0,0
102,1,-705.0,-279.0,-2007.0,-2190.0,0,0,1,0,0
103,1,-408.0,-590.0,-1199.0,-1497.0,1,0,0,0,0
104,1,-16.0,12.0,515.0,773.0,0,0,0,1,0
110,0,-666.0,-469.0,-1892.0,-1558.0,0,0,0,0,1
111,0,-9.0,-198.0,-1115.0,-911.0,0,1,0,0,0
112,0,-199.0,-198.0,800.0,852.0,0,0,1,0,0
113,0,185.0,-276.0,83.0,-872.0,1,0,0,0,0
